,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,_SalesTeamID,_StoreID,Order Quantity,Discount Applied,Unit Cost,Unit Price
0,In-Store,WARE-UHY1004,12/31/17,05/31/18,06/14/18,6,259,5,0.075,"1,001.18","1,963.10"
1,Online,WARE-NMK1003,12/31/17,05/31/18,06/22/18,14,196,3,0.075,"3,348.66","3,939.60"
2,Distributor,WARE-UHY1004,12/31/17,05/31/18,06/21/18,21,213,1,0.05,781.22,"1,775.50"
3,Wholesale,WARE-NMK1003,12/31/17,05/31/18,06/02/18,28,107,8,0.075,"1,464.69","2,324.90"
4,Distributor,WARE-NMK1003,04/10/18,05/31/18,06/16/18,22,111,8,0.1,"1,476.14","1,822.40"
5,Online,WARE-PUJ1005,12/31/17,05/31/18,06/08/18,12,285,5,0.05,446.56,"1,038.50"
6,In-Store,WARE-XYS1001,12/31/17,05/31/18,06/08/18,10,6,4,0.15,536.67,"1,192.60"
7,In-Store,WARE-PUJ1005,04/10/18,05/31/18,06/26/18,6,280,5,0.05,"1,525.19","1,815.70"
8,In-Store,WARE-PUJ1005,12/31/17,06/01/18,06/16/18,4,299,4,0.3,"2,211.20","3,879.30"
9,In-Store,WARE-UHY1004,12/31/17,06/01/18,06/29/18,10,261,8,0.05,"1,212.97","1,956.40"
10,Distributor,WARE-XYS1001,12/31/17,06/01/18,06/15/18,23,17,6,0.1,124.62,201
11,In-Store,WARE-NMK1003,04/10/18,06/01/18,06/07/18,10,152,5,0.15,"2,762.28","6,277.90"
12,In-Store,WARE-PUJ1005,04/10/18,06/01/18,06/22/18,4,317,5,0.05,641.66,"1,051.90"
13,In-Store,WARE-PUJ1005,04/10/18,06/01/18,06/07/18,8,291,6,0.15,216.41,254.6
14,In-Store,WARE-NMK1003,12/31/17,06/01/18,06/15/18,9,138,6,0.15,"3,146.32","3,932.90"
15,In-Store,WARE-MKL1006,12/31/17,06/01/18,06/24/18,5,354,3,0.05,700.69,"1,112.20"
16,In-Store,WARE-PUJ1005,04/10/18,06/01/18,06/19/18,9,320,3,0.075,904.84,"1,239.50"
