,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,_SalesTeamID,_StoreID,Order Quantity,Discount Applied,Unit Cost,Unit Price,DaysToShip
0,In-Store,WARE-UHY1004,12/31/2017,5/31/2018,6/14/2018,6,259,5,0.075,"1,001.18","1,963.10",14 days
1,Online,WARE-NMK1003,12/31/2017,5/31/2018,6/22/2018,14,196,3,0.075,"3,348.66","3,939.60",22 days
2,Distributor,WARE-UHY1004,12/31/2017,5/31/2018,6/21/2018,21,213,1,0.05,781.22,"1,775.50",21 days
3,Wholesale,WARE-NMK1003,12/31/2017,5/31/2018,6/2/2018,28,107,8,0.075,"1,464.69","2,324.90",2 days
4,Distributor,WARE-NMK1003,4/10/2018,5/31/2018,6/16/2018,22,111,8,0.1,"1,476.14","1,822.40",16 days
5,Online,WARE-PUJ1005,12/31/2017,5/31/2018,6/8/2018,12,285,5,0.05,446.56,"1,038.50",8 days
6,In-Store,WARE-XYS1001,12/31/2017,5/31/2018,6/8/2018,10,6,4,0.15,536.67,"1,192.60",8 days
7,In-Store,WARE-PUJ1005,4/10/2018,5/31/2018,6/26/2018,6,280,5,0.05,"1,525.19","1,815.70",26 days
8,In-Store,WARE-PUJ1005,12/31/2017,6/1/2018,6/16/2018,4,299,4,0.3,"2,211.20","3,879.30",15 days
9,In-Store,WARE-UHY1004,12/31/2017,6/1/2018,6/29/2018,10,261,8,0.05,"1,212.97","1,956.40",28 days
10,Distributor,WARE-XYS1001,12/31/2017,6/1/2018,6/15/2018,23,17,6,0.1,124.62,201,14 days
11,In-Store,WARE-NMK1003,4/10/2018,6/1/2018,6/7/2018,10,152,5,0.15,"2,762.28","6,277.90",6 days
12,In-Store,WARE-PUJ1005,4/10/2018,6/1/2018,6/22/2018,4,317,5,0.05,641.66,"1,051.90",21 days
13,In-Store,WARE-PUJ1005,4/10/2018,6/1/2018,6/7/2018,8,291,6,0.15,216.41,254.6,6 days
14,In-Store,WARE-NMK1003,12/31/2017,6/1/2018,6/15/2018,9,138,6,0.15,"3,146.32","3,932.90",14 days
15,In-Store,WARE-MKL1006,12/31/2017,6/1/2018,6/24/2018,5,354,3,0.05,700.69,"1,112.20",23 days
16,In-Store,WARE-PUJ1005,4/10/2018,6/1/2018,6/19/2018,9,320,3,0.075,904.84,"1,239.50",18 days
17,In-Store,WARE-XYS1001,4/10/2018,6/1/2018,6/6/2018,8,21,4,0.1,393.96,984.9,5 days
